"Date","Facebook Page","Followers","Net Follower Growth","Published Posts","Views","Organic Views","Paid Views","Reach","Organic Reach","Paid Reach","Engagements","Reactions","Comments","Shares","Post Link Clicks","Other Post Clicks","Page Actions","Engagement Rate (per View)","Video Views","Full Video Views","Partial Video Views","Organic Video Views","Organic Full Video Views","Organic Partial Video Views","Paid Video Views","Paid Full Video Views","Paid Partial Video Views","Click to Play Video Views","Autoplay Video Views"
"12-08-2022","The Chicago Public Education Fund","2,226","0","0","16","16","0","13","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"12-09-2022","The Chicago Public Education Fund","2,227","1","0","44","41","0","28","","0","0","0","0","0","0","0","0","0%","2","1","1","2","1","1","0","0","0","0","2"
"12-10-2022","The Chicago Public Education Fund","2,227","0","0","111","110","0","91","","0","1","0","0","0","1","0","0","0.9%","0","0","0","0","0","0","0","0","0","0","0"
"12-11-2022","The Chicago Public Education Fund","2,227","0","0","86","84","0","69","","0","4","0","0","0","0","4","0","4.65%","2","0","2","2","0","2","0","0","0","0","2"
"12-12-2022","The Chicago Public Education Fund","2,227","0","0","118","113","0","96","","0","7","3","0","0","2","2","0","5.93%","0","0","0","0","0","0","0","0","0","0","0"
"12-13-2022","The Chicago Public Education Fund","2,229","2","0","183","179","0","109","","0","8","1","0","0","1","6","0","4.37%","3","0","3","3","0","3","0","0","0","0","3"
"12-14-2022","The Chicago Public Education Fund","2,229","0","0","174","172","0","146","","0","12","4","0","0","4","4","0","6.9%","1","1","0","1","1","0","0","0","0","0","1"
"12-15-2022","The Chicago Public Education Fund","2,229","0","0","316","312","0","227","","0","40","13","0","0","1","26","0","12.66%","2","0","2","2","0","2","0","0","0","0","2"
"12-16-2022","The Chicago Public Education Fund","2,230","1","0","214","211","0","176","","0","25","10","1","0","2","12","0","11.68%","2","1","1","2","1","1","0","0","0","0","2"
"12-17-2022","The Chicago Public Education Fund","2,230","0","0","89","87","0","69","","0","7","4","0","0","0","3","0","7.87%","2","1","1","2","1","1","0","0","0","0","2"
"12-18-2022","The Chicago Public Education Fund","2,232","2","0","536","532","0","488","","0","297","121","24","2","22","128","0","55.41%","3","2","1","3","2","1","0","0","0","1","2"
"12-19-2022","The Chicago Public Education Fund","2,234","2","0","555","548","0","522","","0","281","121","32","1","16","111","0","50.63%","2","0","2","2","0","2","0","0","0","0","2"
"12-20-2022","The Chicago Public Education Fund","2,234","0","0","64","60","0","57","","0","25","15","2","0","2","6","0","39.06%","1","0","1","1","0","1","0","0","0","0","1"
"12-21-2022","The Chicago Public Education Fund","2,235","1","0","47","47","0","39","","0","17","5","2","0","1","9","0","36.17%","0","0","0","0","0","0","0","0","0","0","0"
"12-22-2022","The Chicago Public Education Fund","2,235","0","0","27","27","0","25","","0","8","5","1","0","0","2","0","29.63%","2","0","2","2","0","2","0","0","0","0","2"
"12-23-2022","The Chicago Public Education Fund","2,235","0","0","19","19","0","13","","0","2","1","0","0","0","1","0","10.53%","0","0","0","0","0","0","0","0","0","0","0"
"12-24-2022","The Chicago Public Education Fund","2,235","0","0","63","59","0","10","","0","1","0","0","0","0","1","0","1.59%","1","0","1","1","0","1","0","0","0","0","1"
"12-25-2022","The Chicago Public Education Fund","2,235","0","0","15","13","0","14","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"12-26-2022","The Chicago Public Education Fund","2,235","0","0","12","12","0","8","","0","1","0","0","0","0","1","0","8.33%","1","1","0","1","1","0","0","0","0","0","1"
"12-27-2022","The Chicago Public Education Fund","2,235","0","0","6","6","0","6","","0","1","0","0","0","0","1","0","16.67%","0","0","0","0","0","0","0","0","0","0","0"
"12-28-2022","The Chicago Public Education Fund","2,235","0","0","18","18","0","18","","0","1","0","0","0","0","1","0","5.56%","1","1","0","1","1","0","0","0","0","0","1"
