"Date","Facebook Page","Followers","Net Follower Growth","Published Posts","Views","Organic Views","Paid Views","Reach","Organic Reach","Paid Reach","Engagements","Reactions","Comments","Shares","Post Link Clicks","Other Post Clicks","Page Actions","Engagement Rate (per View)","Video Views","Full Video Views","Partial Video Views","Organic Video Views","Organic Full Video Views","Organic Partial Video Views","Paid Video Views","Paid Full Video Views","Paid Partial Video Views","Click to Play Video Views","Autoplay Video Views"
"10-20-2022","The Chicago Public Education Fund","2,211","0","0","48","45","0","19","","0","2","1","0","0","0","1","0","4.17%","0","0","0","0","0","0","0","0","0","0","0"
"10-21-2022","The Chicago Public Education Fund","2,212","1","0","101","97","0","73","","0","19","3","0","1","2","13","0","18.81%","2","1","1","2","1","1","0","0","0","1","1"
"10-22-2022","The Chicago Public Education Fund","2,214","2","0","316","309","0","216","","0","24","9","0","0","6","9","0","7.59%","4","0","4","4","0","4","0","0","0","0","4"
"10-23-2022","The Chicago Public Education Fund","2,214","0","0","119","119","0","88","","0","3","2","0","0","1","0","0","2.52%","1","0","1","1","0","1","0","0","0","0","1"
"10-24-2022","The Chicago Public Education Fund","2,217","3","0","81","81","0","72","","0","4","1","0","0","0","3","0","4.94%","1","0","1","1","0","1","0","0","0","0","1"
"10-25-2022","The Chicago Public Education Fund","2,217","0","0","78","75","0","50","","0","1","0","0","0","0","1","0","1.28%","5","1","4","5","1","4","0","0","0","0","5"
"10-26-2022","The Chicago Public Education Fund","2,217","0","0","534","529","0","326","","0","30","9","1","0","0","20","0","5.62%","1","0","1","1","0","1","0","0","0","0","1"
"10-27-2022","The Chicago Public Education Fund","2,217","0","0","257","254","0","204","","0","23","11","1","0","4","7","0","8.95%","1","0","1","1","0","1","0","0","0","0","1"
"10-28-2022","The Chicago Public Education Fund","2,217","0","0","222","220","0","128","","0","20","4","0","0","0","16","0","9.01%","3","2","1","3","2","1","0","0","0","0","3"
"10-29-2022","The Chicago Public Education Fund","2,218","1","0","48","48","0","43","","0","0","0","0","0","0","0","0","0%","4","3","1","4","3","1","0","0","0","0","4"
"10-30-2022","The Chicago Public Education Fund","2,218","0","0","92","90","0","39","","0","2","0","0","0","1","1","0","2.17%","0","0","0","0","0","0","0","0","0","0","0"
"10-31-2022","The Chicago Public Education Fund","2,219","1","0","39","38","0","22","","0","1","0","0","0","0","1","0","2.56%","9","1","8","9","1","8","0","0","0","0","9"
"11-01-2022","The Chicago Public Education Fund","2,219","0","0","19","19","0","13","","0","0","0","0","0","0","0","0","0%","5","0","5","5","0","5","0","0","0","0","5"
"11-02-2022","The Chicago Public Education Fund","2,220","1","0","12","12","0","11","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-03-2022","The Chicago Public Education Fund","2,220","0","0","82","77","0","17","","0","2","0","0","0","1","1","0","2.44%","0","0","0","0","0","0","0","0","0","0","0"
"11-04-2022","The Chicago Public Education Fund","2,220","0","0","42","37","0","21","","0","0","0","0","0","0","0","0","0%","3","2","1","3","2","1","0","0","0","0","3"
"11-05-2022","The Chicago Public Education Fund","2,220","0","0","10","10","0","10","","0","0","0","0","0","0","0","0","0%","2","0","2","2","0","2","0","0","0","0","2"
"11-06-2022","The Chicago Public Education Fund","2,220","0","0","9","9","0","9","","0","1","0","0","0","1","0","0","11.11%","1","0","1","1","0","1","0","0","0","0","1"
"11-07-2022","The Chicago Public Education Fund","2,220","0","0","14","12","0","8","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-08-2022","The Chicago Public Education Fund","2,220","0","0","30","29","0","20","","0","3","0","0","0","0","3","0","10%","1","1","0","1","1","0","0","0","0","0","1"
"11-09-2022","The Chicago Public Education Fund","2,221","1","0","29","28","0","12","","0","3","0","0","0","1","2","0","10.34%","0","0","0","0","0","0","0","0","0","0","0"
"11-10-2022","The Chicago Public Education Fund","2,221","0","0","15","14","0","8","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-11-2022","The Chicago Public Education Fund","2,221","0","0","10","10","0","10","","0","2","0","0","0","0","2","0","20%","1","1","0","1","1","0","0","0","0","1","0"
"11-12-2022","The Chicago Public Education Fund","2,221","0","0","21","19","0","12","","0","2","0","0","0","1","1","0","9.52%","0","0","0","0","0","0","0","0","0","0","0"
"11-13-2022","The Chicago Public Education Fund","2,221","0","0","15","14","0","5","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-14-2022","The Chicago Public Education Fund","2,222","1","0","17","16","0","13","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-15-2022","The Chicago Public Education Fund","2,222","0","0","753","751","0","383","","0","34","0","0","0","0","34","0","4.52%","1","0","1","1","0","1","0","0","0","0","1"
"11-16-2022","The Chicago Public Education Fund","2,222","0","0","616","616","0","296","","0","39","0","0","0","0","39","0","6.33%","0","0","0","0","0","0","0","0","0","0","0"
"11-17-2022","The Chicago Public Education Fund","2,222","0","0","158","157","0","72","","0","19","0","0","0","0","19","0","12.03%","1","0","1","1","0","1","0","0","0","0","1"
"11-18-2022","The Chicago Public Education Fund","2,223","1","0","339","331","0","294","","0","33","11","1","0","0","21","0","9.73%","1","1","0","1","1","0","0","0","0","0","1"
"11-19-2022","The Chicago Public Education Fund","2,223","0","0","124","124","0","111","","0","12","5","0","0","0","7","0","9.68%","0","0","0","0","0","0","0","0","0","0","0"
"11-20-2022","The Chicago Public Education Fund","2,223","0","0","53","52","0","38","","0","3","0","0","0","0","3","0","5.66%","0","0","0","0","0","0","0","0","0","0","0"
"11-21-2022","The Chicago Public Education Fund","2,224","1","0","42","41","0","31","","0","6","2","0","0","0","4","0","14.29%","0","0","0","0","0","0","0","0","0","0","0"
"11-22-2022","The Chicago Public Education Fund","2,223","-1","0","45","45","0","41","","0","5","1","1","0","0","3","0","11.11%","0","0","0","0","0","0","0","0","0","0","0"
"11-23-2022","The Chicago Public Education Fund","2,223","0","0","9","9","0","9","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"11-24-2022","The Chicago Public Education Fund","2,223","0","0","115","114","0","110","","0","14","9","0","0","0","5","0","12.17%","1","0","1","1","0","1","0","0","0","0","1"
"11-25-2022","The Chicago Public Education Fund","2,223","0","0","48","45","0","34","","0","3","0","0","0","0","3","0","6.25%","0","0","0","0","0","0","0","0","0","0","0"
"11-26-2022","The Chicago Public Education Fund","2,225","2","0","15","15","0","14","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-27-2022","The Chicago Public Education Fund","2,225","0","0","14","14","0","12","","0","0","0","0","0","0","0","0","0%","2","0","2","2","0","2","0","0","0","0","2"
"11-28-2022","The Chicago Public Education Fund","2,225","0","0","9","8","0","7","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-29-2022","The Chicago Public Education Fund","2,226","1","0","41","36","0","9","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"11-30-2022","The Chicago Public Education Fund","2,226","0","0","13","13","0","12","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"12-01-2022","The Chicago Public Education Fund","2,226","0","0","374","372","0","237","","0","29","6","0","0","0","23","0","7.75%","1","0","1","1","0","1","0","0","0","0","1"
"12-02-2022","The Chicago Public Education Fund","2,226","0","0","121","120","0","87","","0","5","1","0","0","0","4","0","4.13%","1","1","0","1","1","0","0","0","0","0","1"
"12-03-2022","The Chicago Public Education Fund","2,226","0","0","37","37","0","33","","0","0","0","0","0","0","0","0","0%","0","0","0","0","0","0","0","0","0","0","0"
"12-04-2022","The Chicago Public Education Fund","2,226","0","0","45","44","0","35","","0","0","0","0","0","0","0","0","0%","1","0","1","1","0","1","0","0","0","0","1"
"12-05-2022","The Chicago Public Education Fund","2,226","0","0","120","116","0","106","","0","2","2","0","0","0","0","0","1.67%","1","1","0","1","1","0","0","0","0","0","1"
"12-06-2022","The Chicago Public Education Fund","2,226","0","0","37","35","0","31","","0","4","0","0","0","0","4","0","10.81%","2","2","0","2","2","0","0","0","0","1","1"
"12-07-2022","The Chicago Public Education Fund","2,226","0","0","172","168","0","13","","0","15","0","0","0","0","15","0","8.72%","16","11","5","16","11","5","0","0","0","11","5"
