"Date","Network","Profile","Audience","Net Audience Growth","Audience Gained","Sent Messages (Total)","Published Posts (Total)","Received Messages (Total)","Impressions","Video Views","Engagements","Engagement Rate (per Impression)","Reactions","Comments","Shares","Post Link Clicks","Saves","Other Post Clicks","Other Engagements","Sent posts (X)","Sent Quotes (X)","Sent @Replies (X)","Sent Direct Messages (X)","Sent Posts (Facebook)","Sent Ad Posts (Facebook)","Sent Comments (Facebook)","Sent Ad Comments (Facebook)","Sent Private Messages (Facebook)","Sent Posts (Instagram)","Sent Stories (Instagram)","Sent Reels (Instagram)","Sent Comments (Instagram)","Sent Ad Comments (Instagram)","Sent Posts (Threads)","Sent Quotes (Threads)","Sent Comments (Threads)","Sent Posts (LinkedIn)","Sent Comments (LinkedIn)","Sent Direct Messages (LinkedIn)","Sent Videos (TikTok)","Sent Comments (TikTok)","Sent Pins (Pinterest)","Sent Saves (Pinterest)","Sent Videos (YouTube)","Received Mentions (X)","Received Direct Messages (X)","Received Reposts (X)","Received Quotes (X)","Received New Follower Alerts (X)","Received Wall Posts (Facebook)","Received Comments (Facebook)","Received Ad Comments (Facebook)","Received Private Messages (Facebook)","Received Comments (Instagram)","Received Ad Comments (Instagram)","Received Mentions (Instagram)","Received Media Tags (Instagram)","Received Posts (Threads)","Received Comments (Threads)","Received Comments (LinkedIn)","Received Direct Messages (LinkedIn)","Sent Direct Messages (Instagram)","Received Direct Messages (Instagram)","Received Comments (TikTok)"
"01-11-2026","Facebook","The Chicago Public Education Fund","2,504","1","","0","0","0","109","18","1","0.92%","1","0","0","0","","0","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-11-2026","LinkedIn","The Chicago Public Education Fund","5,643","4","4","0","0","0","183","16","15","8.2%","2","0","0","13","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-12-2026","X","'@TheFundChicago","3,063","0","0","0","0","0","5","2","2","40%","0","0","0","0","","2","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-12-2026","Facebook","The Chicago Public Education Fund","2,503","0","","0","0","0","82","12","2","2.44%","0","0","0","1","","1","","","","","","0","0","0","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-12-2026","LinkedIn","The Chicago Public Education Fund","5,647","1","1","0","0","0","253","32","35","13.83%","7","0","0","28","","","","","","","","","","","","","","","","0","","","","","0","0","0","","","","","","","","","","","","","","","0","","0","","","","0","0","","",""
"01-13-2026","X","'@TheFundChicago","3,061","-2","0","2","2","2","40","7","5","12.5%","1","0","1","0","","3","0","1","0","1","0","","","","","","","","","0","","","","","","","","","","","","","1","0","1","0","0","","","","","0","","0","","","","","","","",""
"01-13-2026","Facebook","The Chicago Public Education Fund","2,503","0","","2","1","0","372","113","4","1.08%","3","1","0","0","","0","","","","","","0","0","1","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
"01-13-2026","LinkedIn","The Chicago Public Education Fund","5,648","4","4","2","2","1","525","82","47","8.95%","11","1","0","35","","","","","","","","","","","","","","","","0","","","","","2","0","0","","","","","","","","","","","","","","","0","","0","","","","1","0","","",""
"01-14-2026","X","'@TheFundChicago","3,060","-1","0","3","3","0","97","16","6","6.19%","0","2","0","2","","2","0","1","0","2","0","","","","","","","","","0","","","","","","","","","","","","","0","0","0","0","0","","","","","0","","0","","","","","","","",""
"01-14-2026","Facebook","The Chicago Public Education Fund","2,507","1","","6","1","7","931","22","3","0.32%","3","0","0","0","","0","","","","","","1","0","5","0","0","","","","0","","","","","","","","","","","","","","","","","","0","7","0","0","0","","0","","","","","","","",""
"01-14-2026","LinkedIn","The Chicago Public Education Fund","5,652","5","5","9","1","8","1,512","236","162","10.71%","48","16","3","95","","","","","","","","","","","","","","","","0","","","","","1","8","0","","","","","","","","","","","","","","","0","","0","","","","8","0","","",""
"01-15-2026","X","'@TheFundChicago","3,060","0","0","0","0","3","103","7","14","13.59%","4","0","2","5","","3","0","0","0","0","0","","","","","","","","","0","","","","","","","","","","","","","0","0","2","0","1","","","","","0","","0","","","","","","","",""
"01-15-2026","Facebook","The Chicago Public Education Fund","2,506","-1","","1","0","0","334","9","117","35.03%","19","15","0","63","","20","","","","","","0","0","1","0","0","","","","0","","","","","","","","","","","","","","","","","","0","0","0","0","0","","0","","","","","","","",""
